winner,game_result,exec_time,num_turns,p1_rem_walls,p2_rem_walls,p1 algorithm name,p2 algorithm name,Distance of p1 to the goal,Distance of p2 to the goal
P1,-1,14.80185175,17,10,3,minimax-alpha-beta-pruning,monte-carlo-tree-search,0,16
P1,-1,18.278198,17,9,4,minimax-alpha-beta-pruning,monte-carlo-tree-search,0,14
P2,1,19.12547374,32,1,5,minimax-alpha-beta-pruning,monte-carlo-tree-search,2,0
P1,-1,14.13417268,17,9,5,minimax-alpha-beta-pruning,monte-carlo-tree-search,0,16
P1,-1,25.95690489,23,7,3,minimax-alpha-beta-pruning,monte-carlo-tree-search,0,12
P1,-1,21.15922594,23,9,4,minimax-alpha-beta-pruning,monte-carlo-tree-search,0,16
P1,-1,14.05773258,15,10,6,minimax-alpha-beta-pruning,monte-carlo-tree-search,0,14
P1,-1,16.24168015,23,10,4,minimax-alpha-beta-pruning,monte-carlo-tree-search,0,12
P1,-1,23.53210497,21,9,3,minimax-alpha-beta-pruning,monte-carlo-tree-search,0,14
P1,-1,14.41467166,19,10,3,minimax-alpha-beta-pruning,monte-carlo-tree-search,0,16
P1,-1,17.7010181,19,10,3,minimax-alpha-beta-pruning,monte-carlo-tree-search,0,16
P1,-1,20.58876681,23,10,2,minimax-alpha-beta-pruning,monte-carlo-tree-search,0,14
P1,-1,13.56958652,19,10,2,minimax-alpha-beta-pruning,monte-carlo-tree-search,0,16
P1,-1,23.64156508,19,9,4,minimax-alpha-beta-pruning,monte-carlo-tree-search,0,14
P1,-1,17.87913632,19,9,4,minimax-alpha-beta-pruning,monte-carlo-tree-search,0,10
P1,-1,17.54970717,17,10,5,minimax-alpha-beta-pruning,monte-carlo-tree-search,0,12
P1,-1,14.93287301,27,7,3,minimax-alpha-beta-pruning,monte-carlo-tree-search,0,12
P1,-1,13.04255915,15,10,7,minimax-alpha-beta-pruning,monte-carlo-tree-search,0,16
P1,-1,15.50946832,19,10,2,minimax-alpha-beta-pruning,monte-carlo-tree-search,0,16
P1,-1,15.13901281,27,9,0,minimax-alpha-beta-pruning,monte-carlo-tree-search,0,16
P2,1,32.70481229,38,10,0,minimax-alpha-beta-pruning,monte-carlo-tree-search,4,0
P1,-1,45.47817802,37,7,1,minimax-alpha-beta-pruning,monte-carlo-tree-search,0,8
