winner,game_result,exec_time,num_turns,p1_rem_walls,p2_rem_walls,Distance of p1 to the goal,Distance of p2 to the goal
2.0,1.0,32.70481229,68.0,10.0,0.0,4.0,0.0
2.0,1.0,29.9372859,66.0,10.0,0.0,6.0,0.0
2.0,1.0,63.10488009,76.0,10.0,2.0,10.0,0.0
1.0,-1.0,56.61931443,61.0,8.0,0.0,0.0,8.0
2.0,1.0,96.3875556,94.0,10.0,2.0,8.0,0.0
2.0,1.0,40.87205505,104.0,10.0,1.0,4.0,0.0
2.0,1.0,60.11719918,98.0,10.0,0.0,6.0,0.0
1.0,-1.0,43.92778039,141.0,7.0,0.0,0.0,2.0
2.0,1.0,49.63018155,60.0,3.0,1.0,6.0,0.0
2.0,1.0,39.5511539,94.0,10.0,1.0,8.0,0.0
