winner,game_result,exec_time,num_turns,p1_rem_walls,p2_rem_walls,p1 algorithm name,p2 algorithm name,Distance of p1 to the goal,Distance of p2 to the goal
P1,-1,32.43790984,27,6,6,minimax-alpha-beta-pruning,expectimax,0,2
P1,-1,26.6412549,27,7,7,minimax-alpha-beta-pruning,expectimax,0,4
P1,-1,19.58381796,23,7,7,minimax-alpha-beta-pruning,expectimax,0,2
P2,1,18.80372357,30,9,5,minimax-alpha-beta-pruning,expectimax,2,0
P1,-1,25.05382895,19,8,8,minimax-alpha-beta-pruning,expectimax,0,4
P2,1,29.11387253,40,10,1,minimax-alpha-beta-pruning,expectimax,4,0
P1,-1,22.21866941,21,9,7,minimax-alpha-beta-pruning,expectimax,0,4
P1,-1,20.84717989,31,9,4,minimax-alpha-beta-pruning,expectimax,0,4
P1,-1,19.95483518,25,9,5,minimax-alpha-beta-pruning,expectimax,0,4
P1,-1,14.59934592,19,10,6,minimax-alpha-beta-pruning,expectimax,0,6
P1,-1,23.95993209,33,10,2,minimax-alpha-beta-pruning,expectimax,0,4
P2,1,22.49226046,26,6,6,minimax-alpha-beta-pruning,expectimax,2,0
P1,-1,21.96011806,19,8,8,minimax-alpha-beta-pruning,expectimax,0,4
P1,-1,15.88053966,21,9,8,minimax-alpha-beta-pruning,expectimax,0,4
P2,1,38.09348345,44,8,0,minimax-alpha-beta-pruning,expectimax,8,0
P1,-1,16.52766061,27,8,6,minimax-alpha-beta-pruning,expectimax,0,2
P1,-1,15.66567826,25,7,6,minimax-alpha-beta-pruning,expectimax,0,4
P1,-1,23.13316536,19,8,8,minimax-alpha-beta-pruning,expectimax,0,4
P1,-1,23.51961946,19,8,8,minimax-alpha-beta-pruning,expectimax,0,4
P2,1,27.42357779,40,10,4,minimax-alpha-beta-pruning,expectimax,6,0
P1,-1,27.53929329,27,7,6,minimax-alpha-beta-pruning,expectimax,0,4
P1,-1,31.15905976,31,7,6,minimax-alpha-beta-pruning,expectimax,0,4
P1,-1,24.1038568,19,8,8,minimax-alpha-beta-pruning,expectimax,0,4
P1,-1,27.80702043,25,9,6,minimax-alpha-beta-pruning,expectimax,0,4
P1,-1,20.56587601,29,8,4,minimax-alpha-beta-pruning,expectimax,0,2
P1,-1,27.46944118,31,3,6,minimax-alpha-beta-pruning,expectimax,0,4
P2,1,22.69353104,22,10,7,minimax-alpha-beta-pruning,expectimax,4,0
P1,-1,25.80438519,25,6,7,minimax-alpha-beta-pruning,expectimax,0,4
P2,1,24.31221414,28,4,6,minimax-alpha-beta-pruning,expectimax,2,0
P1,-1,22.95042372,19,8,8,minimax-alpha-beta-pruning,expectimax,0,4
P2,1,24.35468984,32,10,4,minimax-alpha-beta-pruning,expectimax,6,0
P1,-1,22.78905416,19,8,8,minimax-alpha-beta-pruning,expectimax,0,4
P2,1,26.20031285,32,10,4,minimax-alpha-beta-pruning,expectimax,10,0
P2,1,24.80434108,34,10,3,minimax-alpha-beta-pruning,expectimax,6,0
P1,-1,11.54025817,17,8,8,minimax-alpha-beta-pruning,expectimax,0,4
P2,1,29.499295,38,9,2,minimax-alpha-beta-pruning,expectimax,8,0
P2,1,18.28462291,32,10,4,minimax-alpha-beta-pruning,expectimax,6,0
P1,-1,23.36383033,21,8,9,minimax-alpha-beta-pruning,expectimax,0,2
P1,-1,24.31969786,23,7,7,minimax-alpha-beta-pruning,expectimax,0,4
P1,-1,23.16015792,21,8,8,minimax-alpha-beta-pruning,expectimax,0,4
P1,-1,18.36325955,23,10,6,minimax-alpha-beta-pruning,expectimax,0,4
P1,-1,26.15819764,27,7,7,minimax-alpha-beta-pruning,expectimax,0,4
P1,-1,14.94379902,25,7,6,minimax-alpha-beta-pruning,expectimax,0,4
P2,1,28.72071815,38,5,5,minimax-alpha-beta-pruning,expectimax,4,0
P1,-1,24.43398404,23,7,7,minimax-alpha-beta-pruning,expectimax,0,4
P2,1,25.90672684,38,9,2,minimax-alpha-beta-pruning,expectimax,8,0
P1,-1,15.43827105,21,9,7,minimax-alpha-beta-pruning,expectimax,0,2
P2,1,26.91683531,38,2,6,minimax-alpha-beta-pruning,expectimax,2,0
P2,1,21.87084699,34,10,3,minimax-alpha-beta-pruning,expectimax,10,0
P1,-1,23.53489375,33,9,2,minimax-alpha-beta-pruning,expectimax,0,12
P1,-1,41.74928641,43,7,2,minimax-alpha-beta-pruning,expectimax,0,4
P1,-1,22.71573353,19,8,8,minimax-alpha-beta-pruning,expectimax,0,4
P2,1,22.59161973,34,10,3,minimax-alpha-beta-pruning,expectimax,6,0
P1,-1,24.37711668,23,7,7,minimax-alpha-beta-pruning,expectimax,0,4
P2,1,20.0209074,30,4,5,minimax-alpha-beta-pruning,expectimax,2,0
P1,-1,23.41063023,33,9,3,minimax-alpha-beta-pruning,expectimax,0,10
P2,1,24.5438962,42,10,1,minimax-alpha-beta-pruning,expectimax,6,0
P1,-1,21.16833258,19,8,8,minimax-alpha-beta-pruning,expectimax,0,4
P2,1,35.54092979,44,8,0,minimax-alpha-beta-pruning,expectimax,8,0
P1,-1,23.78367901,33,9,3,minimax-alpha-beta-pruning,expectimax,0,10
P2,1,25.42501163,28,4,6,minimax-alpha-beta-pruning,expectimax,2,0
P2,1,36.53496051,44,6,1,minimax-alpha-beta-pruning,expectimax,2,0
P1,-1,23.62177229,35,9,3,minimax-alpha-beta-pruning,expectimax,0,4
P1,-1,13.88746905,19,10,6,minimax-alpha-beta-pruning,expectimax,0,6
P2,1,19.33814406,34,10,3,minimax-alpha-beta-pruning,expectimax,8,0
P2,1,22.23322511,32,10,4,minimax-alpha-beta-pruning,expectimax,6,0
P1,-1,15.13746119,27,6,5,minimax-alpha-beta-pruning,expectimax,0,4
P1,-1,21.66775417,19,8,8,minimax-alpha-beta-pruning,expectimax,0,4
P2,1,19.30954289,38,10,3,minimax-alpha-beta-pruning,expectimax,6,0
P2,1,21.10317183,28,8,5,minimax-alpha-beta-pruning,expectimax,12,0
P2,1,29.09435821,48,8,0,minimax-alpha-beta-pruning,expectimax,4,0
P1,-1,29.79055357,25,8,7,minimax-alpha-beta-pruning,expectimax,0,2
P2,1,26.26647663,42,9,0,minimax-alpha-beta-pruning,expectimax,8,0
P2,1,23.77162957,36,10,3,minimax-alpha-beta-pruning,expectimax,6,0
P1,-1,21.88712764,37,6,2,minimax-alpha-beta-pruning,expectimax,0,4
P1,-1,20.11220503,25,10,3,minimax-alpha-beta-pruning,expectimax,0,6
P2,1,19.89401102,24,8,7,minimax-alpha-beta-pruning,expectimax,2,0
P2,1,27.42883182,28,6,6,minimax-alpha-beta-pruning,expectimax,4,0
P1,-1,24.39056134,23,7,7,minimax-alpha-beta-pruning,expectimax,0,4
P1,-1,21.18023968,29,10,4,minimax-alpha-beta-pruning,expectimax,0,4
P2,1,23.16394067,36,10,2,minimax-alpha-beta-pruning,expectimax,6,0
P2,1,28.75273085,32,7,4,minimax-alpha-beta-pruning,expectimax,4,0
P1,-1,18.31431222,31,9,4,minimax-alpha-beta-pruning,expectimax,0,4
P2,1,22.52585387,36,10,2,minimax-alpha-beta-pruning,expectimax,6,0
P2,1,22.72594357,36,10,2,minimax-alpha-beta-pruning,expectimax,6,0
P1,-1,25.65347815,23,7,8,minimax-alpha-beta-pruning,expectimax,0,4
P2,1,21.46745443,24,5,7,minimax-alpha-beta-pruning,expectimax,2,0
P2,1,22.09725785,32,10,4,minimax-alpha-beta-pruning,expectimax,6,0
P1,-1,35.04756451,47,8,0,minimax-alpha-beta-pruning,expectimax,0,2
P2,1,24.90589237,40,10,1,minimax-alpha-beta-pruning,expectimax,6,0
P2,1,20.96921396,24,5,7,minimax-alpha-beta-pruning,expectimax,2,0
P2,1,22.71912503,32,10,4,minimax-alpha-beta-pruning,expectimax,10,0
P2,1,47.12195683,48,8,0,minimax-alpha-beta-pruning,expectimax,6,0
P1,-1,12.38154459,19,10,6,minimax-alpha-beta-pruning,expectimax,0,6
P1,-1,13.83925629,19,10,6,minimax-alpha-beta-pruning,expectimax,0,6
P1,-1,25.0328474,21,8,8,minimax-alpha-beta-pruning,expectimax,0,4
P1,-1,25.14914083,37,9,2,minimax-alpha-beta-pruning,expectimax,0,10
P2,1,22.73240256,56,4,0,minimax-alpha-beta-pruning,expectimax,10,0
P1,-1,21.89796352,31,9,3,minimax-alpha-beta-pruning,expectimax,0,4
P2,1,40.0949831,38,8,1,minimax-alpha-beta-pruning,expectimax,2,0
