winner,game_result,exec_time,num_turns,p1_rem_walls,p2_rem_walls,Distance of p1 to the goal,Distance of p2 to the goal
1.0,-1.0,32.43790984,27.0,6.0,6.0,0.0,2.0
1.0,-1.0,26.6412549,27.0,7.0,7.0,0.0,4.0
1.0,-1.0,19.58381796,23.0,7.0,7.0,0.0,2.0
1.0,-1.0,25.05382895,19.0,8.0,8.0,0.0,4.0
1.0,-1.0,22.21866941,21.0,9.0,7.0,0.0,4.0
1.0,-1.0,19.95483518,25.0,9.0,5.0,0.0,4.0
1.0,-1.0,14.59934592,19.0,10.0,6.0,0.0,6.0
2.0,1.0,22.49226046,26.0,6.0,6.0,2.0,0.0
1.0,-1.0,21.96011806,19.0,8.0,8.0,0.0,4.0
1.0,-1.0,15.88053966,21.0,9.0,8.0,0.0,4.0
1.0,-1.0,16.52766061,27.0,8.0,6.0,0.0,2.0
1.0,-1.0,15.66567826,25.0,7.0,6.0,0.0,4.0
1.0,-1.0,23.13316536,19.0,8.0,8.0,0.0,4.0
1.0,-1.0,23.51961946,19.0,8.0,8.0,0.0,4.0
1.0,-1.0,27.53929329,27.0,7.0,6.0,0.0,4.0
1.0,-1.0,24.1038568,19.0,8.0,8.0,0.0,4.0
1.0,-1.0,27.80702043,25.0,9.0,6.0,0.0,4.0
1.0,-1.0,20.56587601,29.0,8.0,4.0,0.0,2.0
2.0,1.0,22.69353104,22.0,10.0,7.0,4.0,0.0
1.0,-1.0,25.80438519,25.0,6.0,7.0,0.0,4.0
2.0,1.0,24.31221414,28.0,4.0,6.0,2.0,0.0
1.0,-1.0,22.95042372,19.0,8.0,8.0,0.0,4.0
1.0,-1.0,22.78905416,19.0,8.0,8.0,0.0,4.0
1.0,-1.0,11.54025817,17.0,8.0,8.0,0.0,4.0
1.0,-1.0,23.36383033,21.0,8.0,9.0,0.0,2.0
1.0,-1.0,24.31969786,23.0,7.0,7.0,0.0,4.0
1.0,-1.0,23.16015792,21.0,8.0,8.0,0.0,4.0
1.0,-1.0,18.36325955,23.0,10.0,6.0,0.0,4.0
1.0,-1.0,26.15819764,27.0,7.0,7.0,0.0,4.0
1.0,-1.0,14.94379902,25.0,7.0,6.0,0.0,4.0
1.0,-1.0,24.43398404,23.0,7.0,7.0,0.0,4.0
1.0,-1.0,15.43827105,21.0,9.0,7.0,0.0,2.0
1.0,-1.0,22.71573353,19.0,8.0,8.0,0.0,4.0
1.0,-1.0,24.37711668,23.0,7.0,7.0,0.0,4.0
1.0,-1.0,21.16833258,19.0,8.0,8.0,0.0,4.0
2.0,1.0,25.42501163,28.0,4.0,6.0,2.0,0.0
1.0,-1.0,13.88746905,19.0,10.0,6.0,0.0,6.0
1.0,-1.0,15.13746119,27.0,6.0,5.0,0.0,4.0
1.0,-1.0,21.66775417,19.0,8.0,8.0,0.0,4.0
1.0,-1.0,29.79055357,25.0,8.0,7.0,0.0,2.0
1.0,-1.0,20.11220503,25.0,10.0,3.0,0.0,6.0
2.0,1.0,19.89401102,24.0,8.0,7.0,2.0,0.0
1.0,-1.0,24.39056134,23.0,7.0,7.0,0.0,4.0
1.0,-1.0,21.18023968,29.0,10.0,4.0,0.0,4.0
1.0,-1.0,25.65347815,23.0,7.0,8.0,0.0,4.0
2.0,1.0,21.46745443,24.0,5.0,7.0,2.0,0.0
2.0,1.0,20.96921396,24.0,5.0,7.0,2.0,0.0
1.0,-1.0,12.38154459,19.0,10.0,6.0,0.0,6.0
1.0,-1.0,13.83925629,19.0,10.0,6.0,0.0,6.0
1.0,-1.0,25.0328474,21.0,8.0,8.0,0.0,4.0
