winner,game_result,exec_time,num_turns,p1_rem_walls,p2_rem_walls,Distance of p1 to the goal,Distance of p2 to the goal
2.0,1.0,25.17273259,32.0,10.0,4.0,8.0,0.0
2.0,1.0,23.09402847,34.0,10.0,3.0,4.0,0.0
2.0,1.0,19.25168991,28.0,10.0,5.0,4.0,0.0
2.0,1.0,18.91998506,30.0,10.0,4.0,4.0,0.0
2.0,1.0,19.19647408,32.0,10.0,3.0,4.0,0.0
2.0,1.0,26.26096535,34.0,10.0,3.0,6.0,0.0
2.0,1.0,22.4859271,32.0,10.0,3.0,4.0,0.0
2.0,1.0,21.62037849,36.0,10.0,1.0,6.0,0.0
2.0,1.0,23.37934971,32.0,10.0,5.0,4.0,0.0
1.0,-1.0,16.78784013,27.0,6.0,6.0,0.0,2.0
2.0,1.0,26.66073012,22.0,7.0,7.0,2.0,0.0
2.0,1.0,28.8057704,40.0,9.0,0.0,12.0,0.0
2.0,1.0,25.17950177,32.0,10.0,4.0,8.0,0.0
2.0,1.0,24.01371312,32.0,10.0,4.0,8.0,0.0
2.0,1.0,18.99199963,42.0,6.0,1.0,6.0,0.0
2.0,1.0,18.02995038,28.0,10.0,5.0,4.0,0.0
2.0,1.0,19.25210762,28.0,10.0,5.0,4.0,0.0
2.0,1.0,20.5917058,30.0,10.0,4.0,4.0,0.0
2.0,1.0,23.21987581,40.0,8.0,1.0,10.0,0.0
2.0,1.0,23.11108088,40.0,8.0,0.0,4.0,0.0
2.0,1.0,18.65358329,28.0,10.0,5.0,4.0,0.0
2.0,1.0,18.81188917,28.0,10.0,5.0,4.0,0.0
2.0,1.0,19.25353074,30.0,10.0,4.0,4.0,0.0
2.0,1.0,21.69905519,38.0,10.0,2.0,4.0,0.0
2.0,1.0,20.63836408,30.0,10.0,5.0,4.0,0.0
2.0,1.0,26.08555651,36.0,10.0,2.0,6.0,0.0
2.0,1.0,22.05376863,34.0,10.0,3.0,6.0,0.0
2.0,1.0,20.63836408,30.0,8.0,2.0,2.0,0.0
2.0,1.0,24.61591315,36.0,10.0,2.0,8.0,0.0
2.0,1.0,19.36645103,28.0,10.0,5.0,4.0,0.0
