winner,game_result,exec_time,num_turns
2.0,1.0,19.12547374,32.0
1.0,-1.0,25.95690489,23.0
1.0,-1.0,21.15922594,23.0
1.0,-1.0,23.53210497,21.0
1.0,-1.0,20.58876681,23.0
1.0,-1.0,23.64156508,19.0
1.0,-1.0,14.93287301,27.0
1.0,-1.0,15.13901281,27.0
1.0,-1.0,24.8705132,21.0
1.0,-1.0,20.40565777,23.0
1.0,-1.0,21.79427195,29.0
1.0,-1.0,20.26841402,21.0
1.0,-1.0,23.78644323,19.0
1.0,-1.0,29.38870978,21.0
1.0,-1.0,27.09745193,25.0
1.0,-1.0,19.89827967,21.0
1.0,-1.0,26.13447881,25.0
1.0,-1.0,25.40960169,21.0
1.0,-1.0,22.55331278,23.0
1.0,-1.0,24.90774632,19.0
1.0,-1.0,19.46338701,23.0
1.0,-1.0,27.47759509,23.0
1.0,-1.0,24.80439019,27.0
1.0,-1.0,21.47302032,27.0
1.0,-1.0,21.23981977,21.0
1.0,-1.0,20.33200073,37.0
1.0,-1.0,25.84271026,29.0
1.0,-1.0,22.12255645,21.0
1.0,-1.0,22.65943241,21.0
1.0,-1.0,20.59286451,39.0
1.0,-1.0,20.08594489,25.0
1.0,-1.0,17.85998464,29.0
1.0,-1.0,27.70332003,33.0
1.0,-1.0,26.68043017,29.0
1.0,-1.0,22.98509979,21.0
